1 78 2 5 0.71 39
1 15 1 5 0.6 38
1 25 1 2 0.25 31
1 20 2 7 1.22 45
1 64 1 9 0.65 41
1 34 2 9 0.7 40
2 4 2 2 -9 34
2 2 1 2 -9 34
1 79 2 6 0.3 35
2 9 2 3 -9 38
1 77 2 9 0.73 41
1 82 2 3 0.4 36
1 32 2 2 0.2 29
1 81 2 3 0.4 37
2 85 2 3 0.4 36
1 31 2 6 0.7 38
1 51 1 6 0.6 39
1 61 2 5 0.4 34
1 40 2 9 0.8 41
1 58 2 3 0.5 34
1 33 1 6 0.6 37
1 80 2 -9 0.15 32
2 87 1 4 0.5 37
1 76 1 6 0.4 39
1 20 2 3 0.52 35
1 20 1 2 0.29 31
1 28 1 8 1.05 46
1 73 1 3 0.4 33
1 48 1 3 0.5 33
1 93 1 6 0.61 39
2 5 2 9 -9 41
2 1 1 6 -9 39
1 84 2 4 0.7 40
1 37 2 2 0.5 31
1 35 1 4 0.55 35
2 4 1 2 -9 34
2 92 2 2 0.33 30
1 93 1 2 0.23 29
2 1 1 5 -9 40
2 85 1 -9 0.55 38
1 77 1 3 0.65 37
1 31 1 5 0.4 35
1 25 1 2 0.28 30
1 26 2 2 0.17 27
1 34 1 4 0.6 37
1 89 2 5 0.92 39
1 83 1 4 0.3 35
2 7 2 4 -9 40
1 30 1 8 0.55 40
1 14 1 3 0.64 36
1 21 2 3 0.44 34
1 28 2 2 0.22 28
1 61 1 2 0.3 30
1 55 2 6 0.75 40
1 35 2 3 0.55 35
2 5 1 2 -9 33
1 80 1 3 0.35 33
1 62 1 2 0.25 28
1 62 1 5 0.5 37
1 54 1 3 0.5 35
1 33 2 5 0.65 38
2 99 1 4 0.54 36
2 8 2 2 -9 37
1 84 1 5 0.5 39
1 32 2 3 0.25 30
1 15 2 3 0.61 37
1 20 1 3 0.45 35
1 45 1 4 0.6 37
1 96 2 4 0.69 37
1 22 1 2 0.33 32
1 53 2 3 0.45 33
1 30 2 2 0.15 29
1 13 1 9 0.82 44
1 10 2 5 0.95 41
1 35 1 5 0.5 36
1 97 2 3 0.64 36
1 80 2 4 0.3 34
1 84 1 3 0.5 39
1 13 1 9 0.85 44
2 85 2 4 0.3 33
2 86 1 -9 0.25 31
1 14 2 3 0.6 37
1 14 1 4 0.65 39
1 21 2 2 0.35 32
1 10 2 5 0.92 41
2 2 2 4 -9 41
1 80 2 3 0.45 37
2 8 2 4 -9 37
1 30 1 2 0.2 29
1 31 2 3 0.2 30
1 20 2 2 0.34 31
1 27 1 10 1 46
2 5 2 -9 -9 34
1 12 1 7 0.9 45
1 19 1 3 0.36 33
1 62 1 3 0.45 35
