#Strata	Haul	Sex	Len	Freq
1	71	3	39	1
1	71	3	41	2
1	71	3	42	5
1	71	3	43	5
1	71	3	45	1
1	72	3	39	1
1	72	3	40	1
1	72	3	41	8
1	72	3	42	6
1	72	3	43	5
1	72	3	41	1
1	73	3	40	1
1	73	3	41	3
1	73	3	43	1
1	73	3	38	1
1	73	3	39	1
1	73	3	40	3
1	73	3	41	5
1	73	3	42	4
1	73	3	43	3
1	74	3	40	3
1	74	3	41	2
1	74	3	43	1
1	74	3	40	4
1	74	3	41	4
1	74	3	42	1
1	74	3	43	1
1	74	3	44	1
1	75	3	39	2
1	75	3	41	2
1	75	3	39	3
1	75	3	40	5
1	75	3	41	3
1	75	3	42	6
1	75	3	43	1
1	76	3	39	1
1	76	3	40	2
1	76	3	39	1
1	76	3	40	1
1	76	3	41	1
1	76	3	42	6
1	76	3	43	3
2	77	3	34	1
2	77	3	35	1
2	77	3	36	2
2	77	3	37	1
2	77	3	38	2
2	77	3	39	3
2	77	3	40	3
2	77	3	41	2
2	77	3	33	1
2	77	3	36	1
2	77	3	37	1
2	77	3	39	1
2	77	3	40	3
2	77	3	41	1
2	78	3	30	1
2	78	3	31	1
2	78	3	34	2
2	78	3	37	3
2	78	3	39	3
2	78	3	30	1
2	78	3	32	1
2	78	3	34	1
2	78	3	35	1
2	78	3	36	2
2	78	3	37	2
2	78	3	38	1
2	78	3	39	3
2	79	3	35	1
2	79	3	37	2
2	79	3	38	3
2	79	3	39	1
2	79	3	40	1
2	79	3	41	1
2	79	3	36	1
2	79	3	37	3
2	79	3	38	2
2	79	3	39	1
2	79	3	40	1
2	80	3	33	1
2	80	3	35	2
2	80	3	37	3
2	80	3	38	3
2	80	3	40	2
2	80	3	36	2
2	80	3	37	3
2	80	3	38	4
2	80	3	39	1
2	81	3	36	3
2	81	3	37	1
2	81	3	38	1
2	81	3	39	2
2	81	3	40	1
2	81	3	41	1
2	81	3	37	3
2	81	3	38	2
2	81	3	39	1
2	81	3	41	1
2	82	3	33	1
2	82	3	35	1
2	82	3	36	1
2	82	3	39	4
2	82	3	40	2
2	82	3	41	1
2	82	3	42	1
2	82	3	36	1
2	82	3	37	1
2	82	3	39	3
2	82	3	41	1
2	82	3	42	1
2	83	3	32	1
2	83	3	34	3
2	83	3	36	2
2	83	3	37	4
2	83	3	38	2
2	83	3	41	1
2	83	3	36	2
2	83	3	37	1
2	83	3	38	3
2	83	3	42	1
2	84	3	37	1
2	84	3	38	2
2	84	3	39	3
2	84	3	40	3
2	84	3	42	1
2	84	3	36	1
2	84	3	37	1
2	84	3	38	1
2	84	3	39	1
2	84	3	40	2
2	84	3	41	1
2	84	3	42	1
2	85	3	35	1
2	85	3	36	1
2	85	3	37	1
2	85	3	38	1
2	85	3	39	3
2	85	3	40	5
2	85	3	41	1
2	85	3	42	1
2	85	3	38	2
2	85	3	39	1
2	85	3	40	1
2	85	3	41	1
2	85	3	43	1
3	86	3	30	1
3	86	3	35	1
3	86	3	38	4
3	86	3	39	1
3	86	3	40	1
3	86	3	31	2
3	86	3	32	2
3	86	3	37	2
3	86	3	38	2
3	86	3	39	5
3	86	3	41	1
3	86	3	42	1
3	87	3	30	1
3	87	3	33	1
3	87	3	34	1
3	87	3	38	3
3	87	3	39	2
3	87	3	40	2
3	87	3	35	1
3	87	3	37	3
3	87	3	38	4
3	87	3	39	1
3	87	3	40	1
3	88	3	30	1
3	88	3	33	1
3	88	3	35	1
3	88	3	38	2
3	88	3	39	1
3	88	3	35	5
3	88	3	36	5
3	88	3	37	5
3	88	3	38	1
3	88	3	40	1
3	89	3	29	1
3	89	3	31	1
3	89	3	35	1
3	89	3	36	2
3	89	3	39	3
3	89	3	43	1
3	89	3	30	1
3	89	3	31	1
3	89	3	32	1
3	89	3	35	1
3	89	3	36	3
3	89	3	37	3
3	89	3	38	3
3	89	3	39	1
2	90	3	36	1
2	90	3	37	1
2	90	3	38	2
2	90	3	42	1
2	90	3	35	1
2	90	3	36	1
2	90	3	37	2
2	90	3	39	1
2	90	3	40	2
2	90	3	44	1
2	90	3	39	2
2	90	3	41	1
3	91	3	26	1
3	91	3	32	1
3	91	3	38	2
3	91	3	29	1
3	91	3	32	1
3	91	3	35	1
3	91	3	37	1
3	91	3	38	3
3	91	3	39	2
3	92	3	29	1
3	92	3	35	2
3	92	3	36	3
3	92	3	38	3
3	92	3	39	1
3	92	3	31	1
3	92	3	35	1
3	92	3	36	3
3	92	3	37	6
3	92	3	39	1
3	93	3	34	1
3	93	3	37	1
3	93	3	40	1
3	93	3	42	1
3	93	3	29	1
3	93	3	30	1
3	93	3	33	1
3	93	3	34	3
3	93	3	35	1
3	93	3	37	5
3	93	3	38	4
3	93	3	39	3
3	94	3	29	2
