year type stratum sex age value 
2009 N_Kimura   3 2 10 171.801
2009 N_Kimura   3 2 11 0
2009 N_Kimura   3 2 12 0
2009 N_Kimura   3 2 13 0
2009 N_Kimura   3 2 14 0
2009 N_Kimura   3 2 15 0
2009 avg_wt_age 3 2 1 0.237656
2009 avg_wt_age 3 2 2 0.38786
2009 avg_wt_age 3 2 3 0.518928
2009 avg_wt_age 3 2 4 0.616722
2009 avg_wt_age 3 2 5 0.656446
2009 avg_wt_age 3 2 6 0.698602
2009 avg_wt_age 3 2 7 0.71128
2009 avg_wt_age 3 2 8 0.63274
2009 avg_wt_age 3 2 9 0.747828
2009 avg_wt_age 3 2 10 0.681724
2009 avg_wt_age 3 2 11 0
2009 avg_wt_age 3 2 12 0
2009 avg_wt_age 3 2 13 0
2009 avg_wt_age 3 2 14 0
2009 avg_wt_age 3 2 15 0
2009 p 3 1 1 0.0454456
2009 p 3 1 2 0.150795
2009 p 3 1 3 0.0462483
2009 p 3 1 4 0.0606461
2009 p 3 1 5 0.0472767
2009 p 3 1 6 0.0155186
2009 p 3 1 7 0.052859
2009 p 3 1 8 0.0363808
2009 p 3 1 9 0.0364532
2009 p 3 1 10 0.00696696
2009 p 3 1 11 0.00140963
2009 p 3 1 12 0
2009 p 3 1 13 0
2009 p 3 1 14 0
2009 p 3 1 15 0
2009 p 3 2 1 0.0421866
2009 p 3 2 2 0.140094
2009 p 3 2 3 0.0866921
2009 p 3 2 4 0.0520621
2009 p 3 2 5 0.0442458
2009 p 3 2 6 0.0460741
2009 p 3 2 7 0.0335051
2009 p 3 2 8 0.0318073
2009 p 3 2 9 0.0180368
2009 p 3 2 10 0.00529564
2009 p 3 2 11 0
2009 p 3 2 12 0
2009 p 3 2 13 0
2009 p 3 2 14 0
2009 p 3 2 15 0
2009 N  1 99 1 34.4704
2009 N  1 99 2 5224.27
2009 N  1 99 3 937.226
2009 N  1 99 4 4187.16
2009 N  1 99 5 2055.78
2009 N  1 99 6 2603.84
2009 N  1 99 7 6322.19
2009 N  1 99 8 3474.39
2009 N  1 99 9 4233.99
2009 N  1 99 10 705.881
2009 N  1 99 11 192.212
2009 N  1 99 12 0
2009 N  1 99 13 37.1577
2009 N  1 99 14 0
2009 N  1 99 15 0
2009 a  1 99 1 0.235328
2009 a  1 99 2 0.597637
2009 a  1 99 3 0.824255
2009 a  1 99 4 0.869479
2009 a  1 99 5 0.890976
2009 a  1 99 6 0.946478
2009 a  1 99 7 0.937919
2009 a  1 99 8 0.988849
2009 a  1 99 9 0.993212
2009 a  1 99 10 1.01993
2009 a  1 99 11 0.99345
2009 a  1 99 12 0
2009 a  1 99 13 2.58
2009 a  1 99 14 0
2009 a  1 99 15 0
2009 N  2 99 1 1892.17
2009 N  2 99 2 17323.1
2009 N  2 99 3 10713.8
2009 N  2 99 4 12093.4
2009 N  2 99 5 3655
2009 N  2 99 6 3875.65
2009 N  2 99 7 7179.59
2009 N  2 99 8 2563.87
2009 N  2 99 9 2888.83
2009 N  2 99 10 190.575
2009 N  2 99 11 0
2009 N  2 99 12 0
2009 N  2 99 13 0
2009 N  2 99 14 0
2009 N  2 99 15 0
2009 a  2 99 1 0.180968
2009 a  2 99 2 0.343178
2009 a  2 99 3 0.4526
2009 a  2 99 4 0.520108
2009 a  2 99 5 0.583701
2009 a  2 99 6 0.621585
2009 a  2 99 7 0.619865
2009 a  2 99 8 0.623421
2009 a  2 99 9 0.667857
2009 a  2 99 10 0.552403
2009 a  2 99 11 0
2009 a  2 99 12 0
2009 a  2 99 13 0
2009 a  2 99 14 0
2009 a  2 99 15 0
2009 N  3 99 1 2864.22
2009 N  3 99 2 9507.6
2009 N  3 99 3 4345.1
2009 N  3 99 4 3683.82
2009 N  3 99 5 2991.38
2009 N  3 99 6 2013.13
2009 N  3 99 7 2822.77
2009 N  3 99 8 2228.7
2009 N  3 99 9 1780.98
2009 N  3 99 10 400.798
2009 N  3 99 11 46.0732
2009 N  3 99 12 0
2009 N  3 99 13 0
2009 N  3 99 14 0
2009 N  3 99 15 0
2009 a  3 99 1 0.226391
2009 a  3 99 2 0.37806
2009 a  3 99 3 0.505516
2009 a  3 99 4 0.57515
2009 a  3 99 5 0.608389
2009 a  3 99 6 0.663286
2009 a  3 99 7 0.646322
2009 a  3 99 8 0.598959
2009 a  3 99 9 0.656185
2009 a  3 99 10 0.603242
2009 a  3 99 11 0.71
2009 a  3 99 12 0
2009 a  3 99 13 0
2009 a  3 99 14 0
2009 a  3 99 15 0
2009 N 99 1 1 2521.48
2009 N 99 1 2 15378.6
2009 N 99 1 3 7316.9
2009 N 99 1 4 10328.2
2009 N 99 1 5 4297.23
2009 N 99 1 6 2507.86
2009 N 99 1 7 8279.06
2009 N 99 1 8 4662.85
2009 N 99 1 9 6298.16
2009 N 99 1 10 869.532
2009 N 99 1 11 74.6847
2009 N 99 1 12 0
2009 N 99 1 13 0
2009 N 99 1 14 0
2009 N 99 1 15 0
2009 a 99 1 1 0.203029
2009 a 99 1 2 0.381438
2009 a 99 1 3 0.460835
2009 a 99 1 4 0.551778
2009 a 99 1 5 0.592646
2009 a 99 1 6 0.674829
2009 a 99 1 7 0.691627
2009 a 99 1 8 0.723952
2009 a 99 1 9 0.780744
2009 a 99 1 10 0.745405
2009 a 99 1 11 0.880265
2009 a 99 1 12 0
2009 a 99 1 13 0
2009 a 99 1 14 0
2009 a 99 1 15 0
2009 N 99 2 1 2269.39
2009 N 99 2 2 16676.3
2009 N 99 2 3 8679.23
2009 N 99 2 4 9636.19
2009 N 99 2 5 4404.93
2009 N 99 2 6 5984.77
2009 N 99 2 7 8045.5
2009 N 99 2 8 3604.11
2009 N 99 2 9 2605.65
2009 N 99 2 10 427.722
2009 N 99 2 11 163.6
2009 N 99 2 12 0
2009 N 99 2 13 37.1577
2009 N 99 2 14 0
2009 N 99 2 15 0
2009 a 99 2 1 0.21461
2009 a 99 2 2 0.407498
2009 a 99 2 3 0.512282
2009 a 99 2 4 0.659016
2009 a 99 2 5 0.735145
2009 a 99 2 6 0.754655
2009 a 99 2 7 0.805231
2009 a 99 2 8 0.830506
2009 a 99 2 9 0.915698
2009 a 99 2 10 0.979248
2009 a 99 2 11 0.965294
2009 a 99 2 12 0
2009 a 99 2 13 2.58
2009 a 99 2 14 0
2009 a 99 2 15 0
2009 N 99 99 1 4790.86
2009 N 99 99 2 32055
2009 N 99 99 3 15996.1
2009 N 99 99 4 19964.4
2009 N 99 99 5 8702.16
2009 N 99 99 6 8492.63
2009 N 99 99 7 16324.6
2009 N 99 99 8 8266.96
2009 N 99 99 9 8903.81
2009 N 99 99 10 1297.25
2009 N 99 99 11 238.285
2009 N 99 99 12 0
2009 N 99 99 13 37.1577
2009 N 99 99 14 0
2009 N 99 99 15 0
2009 a 99 99 1 0.208515
2009 a 99 99 2 0.394995
2009 a 99 99 3 0.48875
2009 a 99 99 4 0.603538
2009 a 99 99 5 0.664778
